Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income (current US$),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),Exports of goods and services (% of GDP),GDP per capita (current US$),"Life expectancy at birth, total (years)",Population growth (annual %),"Population, total","Suicide mortality rate (per 100,000 population)",Standard Country Name,Continent
Afghanistan,AFG,1960,,73205099169.37035,50.34,31.921,,35.12453013980944,19446.003704610215,32.535,0.8247937866135835,9035043.0,,Afghanistan,Asia
Afghanistan,AFG,1961,,233663994709.14648,50.443,31.349,,26.551056497747688,20436.29378996272,33.068,1.9622391202036,9214083.0,,Afghanistan,Asia
Afghanistan,AFG,1962,,72328089762.86374,50.57,30.845,,38.36663539315562,8022.019040244384,33.547,2.0445228359303,9404406.0,,Afghanistan,Asia
Afghanistan,AFG,1963,,115436837773.87051,50.703,30.359,,50.167037397187165,14386.51927445601,34.016,2.1052082248002,9604487.0,,Afghanistan,Asia
Afghanistan,AFG,1964,,50604017923.51274,50.831,29.867,,40.33201301152964,6058.5876469844,34.494,2.16119547210755,9814318.0,,Afghanistan,Asia
Afghanistan,AFG,1965,,42123021476.56062,50.872,29.389,,39.10822548824653,6525.089670471189,34.953,2.23370858013984,10036008.0,,Afghanistan,Asia
Afghanistan,AFG,1966,,153979740831.19632,50.986,28.872,,34.2158087506714,2376.568886155493,35.453,2.26965142881696,10266395.0,,Afghanistan,Asia
Afghanistan,AFG,1967,,108072393859.59058,51.081,28.396,,41.332372508973855,15794.114554923395,35.924,2.30666800699098,10505959.0,,Afghanistan,Asia
Afghanistan,AFG,1968,,75224019533.19646,51.148,27.895,,31.78114664939172,7726.08026312701,36.418,2.36068343389987,10756922.0,,Afghanistan,Asia
Afghanistan,AFG,1969,,74670977294.52864,51.195,27.398,,27.115860286922704,8028.111731064372,36.91,2.39272037816067,11017409.0,,Afghanistan,Asia
Afghanistan,AFG,1970,,1667655426.60532,51.122,26.875,,26.2529951488606,5153.0046369573065,37.418,2.4452057451213,11290128.0,,Afghanistan,Asia
Afghanistan,AFG,1971,,1744091423.90676,51.163,26.364,,28.458859619608482,913.0166170664154,37.923,2.42851631309344,11567667.0,,Afghanistan,Asia
Afghanistan,AFG,1972,,1520787577.08248,51.109,25.845,,22.72942882235319,907.4877785934723,38.444,2.44258389899974,11853696.0,,Afghanistan,Asia
Afghanistan,AFG,1973,,1643170738.24484,51.114,25.297,,25.64450851308688,1291.8913689828485,39.003,2.53475893911385,12157999.0,,Afghanistan,Asia
Afghanistan,AFG,1974,,2037081656.03082,51.135,24.773,,15.700654602481155,611.6524036890373,39.55,2.5268442145866,12469127.0,,Afghanistan,Asia
Afghanistan,AFG,1975,,2217265482.95028,51.018,24.241,,30.652593911029243,1025.6102831952255,40.1,2.41525048462279,12773954.0,,Afghanistan,Asia
Afghanistan,AFG,1976,,2391589346.14087,50.935,23.718,,27.71470131164508,448.44526474193196,40.645,2.21344608328696,13059851.0,,Afghanistan,Asia
Afghanistan,AFG,1977,,2767233660.42934,50.921,23.179,,19.263108096221362,399.17809418354716,41.228,2.1280995644747,13340756.0,,Afghanistan,Asia
Afghanistan,AFG,1978,,3098485434.01186,50.816,23.875,,16.640188725790996,365.0647716574278,40.271,2.00869785436837,13611441.0,,Afghanistan,Asia
Afghanistan,AFG,1979,,3466883157.52104,50.737,24.797,,16.213075270910274,574.5591753148394,39.086,0.323658822560684,13655567.0,,Afghanistan,Asia
Afghanistan,AFG,1980,,3395346424.33123,50.482,24.209,,27.21321172690142,811.5835548973712,39.618,-3.62580787978915,13169311.0,,Afghanistan,Asia
Afghanistan,AFG,1981,,3258708829.42286,50.264,23.611,,24.58612639681865,681.2243084225988,40.164,-9.81977073931242,11937581.0,,Afghanistan,Asia
Afghanistan,AFG,1982,,10904662683.86929,50.138,25.622,,18.714209100578,5403.179994057407,37.766,-8.25803438536739,10991378.0,,Afghanistan,Asia
Afghanistan,AFG,1983,,10450525941.537495,50.139,25.107,,21.181604377657983,306.4955340025786,38.187,-0.669999256586122,10917982.0,,Afghanistan,Asia
Afghanistan,AFG,1984,,31813988893.535896,50.235,30.03,,26.770694418099698,2804.2004985588774,33.329,2.46291172007885,11190221.0,,Afghanistan,Asia
Afghanistan,AFG,1985,,103092897430.55962,50.553,29.661,,34.95266821218404,9978.786661360802,33.55,2.09257523944359,11426852.0,,Afghanistan,Asia
Afghanistan,AFG,1986,,184674892228.4671,50.728,23.705,,34.95266821218404,9978.786661360802,39.396,-0.0593340233066949,11420074.0,,Afghanistan,Asia
Afghanistan,AFG,1987,,99727231654.23274,50.845,23.285,,28.538494374439388,10032.845244764085,39.844,-0.282849651384286,11387818.0,,Afghanistan,Asia
Afghanistan,AFG,1988,,104310677817.80794,50.98,19.945,,35.89838922540206,11194.52899262443,43.958,1.18267114653938,11523298.0,,Afghanistan,Asia
Afghanistan,AFG,1989,,10190641713.9947,51.162,19.047,,28.7096381468971,1105.1364679455287,45.158,2.9987647953118,11874088.0,,Afghanistan,Asia
Afghanistan,AFG,1990,,15420031233.972265,51.423,18.449,,30.32156562723018,1526.8132221958797,45.967,1.43458821147838,12045660.0,,Afghanistan,Asia
Afghanistan,AFG,1991,,31370024371.775047,51.788,17.946,,24.113558472557898,1660.302573148282,46.663,1.59132588364829,12238879.0,,Afghanistan,Asia
Afghanistan,AFG,1992,,25095639542.927635,51.948,17.222,,20.816422205879007,2301.0994929440494,47.596,8.15641941048095,13278974.0,,Afghanistan,Asia
Afghanistan,AFG,1993,,70401331654.22964,52.038,14.838,,37.62107402413268,5854.118141230787,51.466,11.8072591071712,14943172.0,,Afghanistan,Asia
Afghanistan,AFG,1994,,72006174680.28665,52.174,14.689,,26.70754839771402,5713.418110892575,51.495,8.38872960212999,16250794.0,,Afghanistan,Asia
Afghanistan,AFG,1995,,105934142349.44077,52.073,14.092,,26.242428769624222,6456.850105816504,52.544,4.89368011973163,17065836.0,,Afghanistan,Asia
Afghanistan,AFG,1996,,87855369702.8038,51.873,13.627,,11.213778486841466,530.1125109947734,53.243,4.00540467357125,17763266.0,,Afghanistan,Asia
Afghanistan,AFG,1997,,83306414900.4755,51.4,13.334,,24.268559503268115,5111.450665196993,53.634,3.80450803445817,18452091.0,,Afghanistan,Asia
Afghanistan,AFG,1998,,9652544236.213383,50.88,13.565,,24.667448488801817,593.7624811815567,52.943,3.7646866376293,19159996.0,,Afghanistan,Asia
Afghanistan,AFG,1999,,140173896501.15765,50.351,12.463,,26.090653174324125,2741.1777020214795,54.846,3.72811603964771,19887785.0,,Afghanistan,Asia
Afghanistan,AFG,2000,4.4,34867449420.086,49.664,12.096,,20.129863175411963,174.930991430166,55.298,1.21217597601851,20130327.0,4.9,Afghanistan,Asia
Afghanistan,AFG,2001,9.3,42108452482.654434,48.979,11.713,,16.503850986313417,138.706821676113,55.798,0.762004896898895,20284307.0,5,Afghanistan,Asia
Afghanistan,AFG,2002,14.1,36993930984.26513,48.201,11.28,,33.80690944548951,178.954088379235,56.454,5.25202958527833,21378117.0,5,Afghanistan,Asia
Afghanistan,AFG,2003,19,26502927329.419716,47.35,10.698,,18.260920830221558,198.871115728727,57.344,6.14519400188515,22733049.0,5,Afghanistan,Asia
Afghanistan,AFG,2004,23.8,36881629621.94452,46.33,10.277,,41.87413361139094,221.763653873013,57.944,3.57583485398158,23560654.0,5,Afghanistan,Asia
Afghanistan,AFG,2005,28.7,26727503660.12427,45.263,9.941,,31.19780236919082,254.184249149336,58.361,3.51921696042587,24404567.0,5,Afghanistan,Asia
Afghanistan,AFG,2006,33.5,30998675357.50244,44.721,9.679,,24.0181835296155,274.218553561575,58.684,4.09270201656348,25424094.0,4.9,Afghanistan,Asia
Afghanistan,AFG,2007,38.4,85410838681.98279,43.858,9.359,,26.517958526161145,376.223152003876,59.111,1.8925975396006,25909852.0,4.8,Afghanistan,Asia
Afghanistan,AFG,2008,42.4,104032985690.06119,41.506,8.832,,36.268828448984536,381.73323802844,59.852,2.18654618162979,26482622.0,4.6,Afghanistan,Asia
Afghanistan,AFG,2009,48.3,11080132310.4451,41.157,8.535,,15.147298877003603,452.053705477043,60.364,3.64638090813246,27466101.0,4.4,Afghanistan,Asia
Afghanistan,AFG,2010,42.7,14289975733.7475,40.602,8.254,,13.48743420791707,560.621505463146,60.851,2.93468670173474,28284089.0,4.3,Afghanistan,Asia
